feature,shap
speed_limit,0.1972169
police_force,0.19283696
number_of_vehicles,0.18887204
light_conditions,0.082139306
junction_control,0.080644235
urban_or_rural_area,0.07785704
road_type,0.07142386
first_road_class,0.06087469
weather_conditions,0.054960135
second_road_class,0.048356865
day_of_week,0.046470527
longitude,0.043119203
latitude,0.04150524
pedestrian_crossing,0.03306857
junction_detail,0.028988864
road_surface_conditions,0.027903525
carriageway_hazards,0.019409232
special_conditions_at_site,0.016756626
trunk_road_flag,0.008382816
