feature,type,test,effect_size,p_value,rho,significant
casualty_type,categorical,Cramér's V,0.16174900154112185,0.0,,True
vehicle_type,categorical,Cramér's V,0.13593600917071352,0.0,,True
number_of_vehicles,numeric,Spearman ρ,0.11473156004966219,0.0,-0.11473156004966219,True
first_point_of_impact,categorical,Cramér's V,0.11218400880249334,0.0,,True
did_police_officer_attend_scene_of_accident,categorical,Cramér's V,0.10715532138225371,0.0,,True
vehicle_leaving_carriageway,categorical,Cramér's V,0.10007466664004086,0.0,,True
vehicle_manoeuvre,categorical,Cramér's V,0.10004853859339462,0.0,,True
skidding_and_overturning,categorical,Cramér's V,0.09492688014186644,0.0,,True
police_force,categorical,Cramér's V,0.08599078370087727,0.0,,True
age_band_of_casualty,categorical,Cramér's V,0.08016688730723627,0.0,,True
junction_location,categorical,Cramér's V,0.07822441551168267,0.0,,True
pedestrian_location,categorical,Cramér's V,0.07807933307751509,0.0,,True
pedestrian_movement,categorical,Cramér's V,0.07708146506865543,0.0,,True
casualty_class,categorical,Cramér's V,0.07702323510707275,0.0,,True
vehicle_direction_to,categorical,Cramér's V,0.07410426909095127,0.0,,True
vehicle_direction_from,categorical,Cramér's V,0.07400972621931287,0.0,,True
latitude,numeric,Spearman ρ,0.07046766515114791,0.0,0.07046766515114791,True
engine_capacity_cc,numeric,Spearman ρ,0.063564411822802,0.0,-0.063564411822802,True
hit_object_off_carriageway,categorical,Cramér's V,0.06304003989115677,0.0,,True
sex_of_driver,categorical,Cramér's V,0.062451718298024296,0.0,,True
speed_limit,numeric,Spearman ρ,0.06179962328614459,0.0,0.06179962328614459,True
age_band_of_driver,categorical,Cramér's V,0.05910982912763792,0.0,,True
urban_or_rural_area,categorical,Cramér's V,0.05887863125640674,0.0,,True
age_of_casualty,numeric,Spearman ρ,0.05878318718872622,0.0,0.05878318718872622,True
longitude,numeric,Spearman ρ,0.05727446548859268,0.0,-0.05727446548859268,True
road_type,categorical,Cramér's V,0.05435538213804803,0.0,,True
vehicle_left_hand_drive,categorical,Cramér's V,0.05409453938244913,0.0,,True
sex_of_casualty,categorical,Cramér's V,0.05386804789898454,0.0,,True
light_conditions,categorical,Cramér's V,0.05222430149296575,0.0,,True
second_road_class,categorical,Cramér's V,0.050404204469304686,0.0,,True
junction_control,categorical,Cramér's V,0.050238187923988896,0.0,,True
propulsion_code,categorical,Cramér's V,0.04066510628325514,0.0,,True
car_passenger,categorical,Cramér's V,0.0388908200962549,0.0,,True
towing_and_articulation,categorical,Cramér's V,0.03794505655792652,0.0,,True
age_of_vehicle,numeric,Spearman ρ,0.0370167102607447,6.6330908336418e-147,0.0370167102607447,True
special_conditions_at_site,categorical,Cramér's V,0.03642406555005277,8.625556606923915e-309,,True
journey_purpose_of_driver,categorical,Cramér's V,0.03502763462105806,0.0,,True
trunk_road_flag,categorical,Cramér's V,0.0332582617490721,1.8670641648921946e-143,,True
junction_detail,categorical,Cramér's V,0.03242975658747102,5.96095515889939e-278,,True
first_road_class,categorical,Cramér's V,0.03211989323682439,5.6935472346657585e-280,,True
age_of_driver,numeric,Spearman ρ,0.031343406594464635,7.670458628276035e-132,0.031343406594464635,True
weather_conditions,categorical,Cramér's V,0.0310472216696395,1.8542897958592205e-256,,True
pedestrian_crossing,categorical,Cramér's V,0.028360426222730013,1.4760980553501404e-206,,True
road_surface_conditions,categorical,Cramér's V,0.02626155245188028,1.959432374866729e-184,,True
hit_object_in_carriageway,categorical,Cramér's V,0.026188711932223226,8.59025141662077e-162,,True
pedestrian_road_maintenance_worker,categorical,Cramér's V,0.02378424565787468,1.9607380511884242e-153,,True
escooter_flag,categorical,Cramér's V,0.022831913613562363,1.1480940098995198e-73,,True
day_of_week,categorical,Cramér's V,0.019900893895594466,1.6823181628147645e-103,,True
driver_imd_decile,numeric,Spearman ρ,0.018763509390456755,2.0809252829679985e-45,0.018763509390456755,True
vehicle_location_restricted_lane,categorical,Cramér's V,0.018755886203234234,4.780471422527831e-84,,True
bus_or_coach_passenger,categorical,Cramér's V,0.017797163514549748,4.50493533719692e-83,,True
casualty_imd_decile,numeric,Spearman ρ,0.017319302365583426,3.823360685372804e-39,0.017319302365583426,True
carriageway_hazards,categorical,Cramér's V,0.016608288897306027,3.100222983498648e-64,,True
