,casualty_type,vehicle_type,first_point_of_impact,did_police_officer_attend_scene_of_accident,vehicle_leaving_carriageway,vehicle_manoeuvre,skidding_and_overturning,police_force,age_band_of_casualty,junction_location,pedestrian_location,pedestrian_movement,casualty_class,vehicle_direction_to
casualty_type,1.0,0.9065579594998492,0.20106596379219585,0.1757318986027386,0.10599273719857222,0.09157944462026106,0.14125061515138862,0.08010836510941843,0.12408851652990162,0.09756048105408906,0.31615407717359656,0.3332603692059235,0.7573211582814652,0.08000192186354858
vehicle_type,0.9065579594998492,1.0,0.1776231048883825,0.16191719476593516,0.09198210867441182,0.07171435755648166,0.12589775595759767,0.08156609307553657,0.0931402494098887,0.08854212992729271,0.06615411102497816,0.0679256994446669,0.2881873697211938,0.07944058103322982
first_point_of_impact,0.20106596379219585,0.1776231048883825,1.0,0.34996454901761287,0.2922512023435587,0.2567590972068414,0.2876488293379901,0.1693676363571835,0.06795209221449831,0.2689137624753228,0.07338732118876007,0.08085324263415973,0.11335169176686427,0.2871589624818972
did_police_officer_attend_scene_of_accident,0.17573189860273858,0.16191719476593516,0.34996454901761287,1.0,0.47980488042227437,0.13458705844487903,0.4797395111414595,0.3384340849018688,0.10772318792405573,0.4184582721658962,0.08418415059310258,0.0843415444415742,0.0774234104553196,0.4868746666673733
vehicle_leaving_carriageway,0.10599273719857222,0.09198210867441182,0.2922512023435587,0.47980488042227437,1.0,0.06669412059269193,0.42268843888358204,0.1900303716941301,0.06301478293908186,0.2974583061228269,0.052814079315036414,0.04863815313559209,0.11205073320249219,0.3197590776987229
vehicle_manoeuvre,0.09157944462026106,0.07171435755648164,0.2567590972068415,0.134587058444879,0.06669412059269193,1.0,0.07525112979831636,0.04533552265131517,0.05021351642302222,0.16892601160529672,0.09416943098239988,0.10558687299231878,0.17982873858516515,0.25936883265555966
skidding_and_overturning,0.14125061515138862,0.1258977559575977,0.2876488293379901,0.4797395111414595,0.42268843888358204,0.07525112979831636,1.0,0.230713459922656,0.08234686097882593,0.3566715343663304,0.0645060349643123,0.06264881207595348,0.11658110381267156,0.3884461198634726
police_force,0.08010836510941843,0.08156609307553657,0.1693676363571835,0.3384340849018688,0.19003037169413006,0.04533552265131517,0.23071345992265602,1.0,0.05677203443205886,0.18648715651531253,0.0483274393696476,0.04594497336151182,0.08595014306536083,0.21084444151176945
age_band_of_casualty,0.12408851652990162,0.0931402494098887,0.06795209221449831,0.10772318792405573,0.06301478293908186,0.05021351642302222,0.08234686097882594,0.05677203443205886,1.0,0.04895616638307777,0.08762677652338675,0.09530657942578581,0.2779989441672416,0.048923737122383876
junction_location,0.09756048105408906,0.0885421299272927,0.2689137624753228,0.4184582721658962,0.2974583061228269,0.16892601160529672,0.3566715343663304,0.1864871565153125,0.04895616638307777,1.0,0.05572225842178952,0.05229452139734898,0.10584975336954613,0.28633993193829926
pedestrian_location,0.31615407717359656,0.06615411102497816,0.07338732118876007,0.08418415059310258,0.052814079315036414,0.09416943098239987,0.0645060349643123,0.0483274393696476,0.08762677652338675,0.055722258421789524,1.0,0.46628897741476527,0.7070323883655082,0.030315452238867256
pedestrian_movement,0.3332603692059235,0.0679256994446669,0.08085324263415973,0.0843415444415742,0.04863815313559209,0.1055868729923188,0.06264881207595348,0.04594497336151182,0.09530657942578581,0.05229452139734897,0.4662889774147653,1.0,0.7070334712268574,0.029516135494471105
casualty_class,0.7573211582814651,0.28818736972119374,0.11335169176686428,0.0774234104553196,0.11205073320249219,0.17982873858516515,0.11658110381267156,0.08595014306536085,0.2779989441672416,0.10584975336954613,0.7070323883655081,0.7070334712268574,1.0,0.05833080383169911
vehicle_direction_to,0.08000192186354857,0.07944058103322982,0.2871589624818972,0.4868746666673733,0.3197590776987229,0.2593688326555597,0.3884461198634726,0.21084444151176945,0.048923737122383876,0.28633993193829926,0.030315452238867252,0.029516135494471105,0.05833080383169911,1.0
